Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
United States of America,2018.0,Infrastructure,Connectivity Technology,Logistics Performance Index (LPI) - Infrastructure Rating,3.89,4.612500000000001,True
United States of America,2020.0,Infrastructure,Innovation Ecosystem,Mobile app creation/bn PPP$ GDP,27.35330587,2.3676652935,True
United States of America,2019.0,Infrastructure,Connectivity Technology,Mobile dowload speed at the slowest hour of the day,76.95912933,2.1520435335000005,True
United States of America,2021.0,Infrastructure,Connectivity Technology,National cyber security index,79.22,4.961,True
United States of America,2019.0,Infrastructure,Innovation Ecosystem,Patents by origin/bn PPP$ GDP,100.0,6.0,True
United States of America,2019.0,Infrastructure,Connectivity Technology,Postal Coverage,93.0,5.65,True
United States of America,2020.0,Infrastructure,Innovation Ecosystem,Scientific and technical articles/bn PPP$ GDP,28.64053263,2.4320266315000003,True
United States of America,2018.0,Infrastructure,Innovation Ecosystem,Software Developer Ecosystem size,651017.0,6.0,True
United States of America,2019.0,Infrastructure,Connectivity Technology,Spectrum Allocated to Mobile Providers,62.56,4.128,True
United States of America,2020.0,Infrastructure,Connectivity Technology,Telecommunication Infrastructure Index (TII),0.9182,5.591,True
United States of America,2020.0,People,Digital Literacy Skills,% of internet users who own cryptocurrency,6.2,1.31,True
United States of America,2017.0,People,Usage and ownership,% of population using digital financial services,77.0,4.85,True
United States of America,2021.0,People,Usage and ownership,% of population using Facebook,72.09,4.6045,True
United States of America,2019.0,People,Digital Literacy Skills,% of population using internet (all),89.43028486,5.4715142430000006,True
United States of America,2020.0,People,Usage and ownership,% of population with a smartphone,0.82,5.1,True
United States of America,2018.0,People,Digital Wellbeing,Automation-led unemployment,45.8,3.71,False
United States of America,2018.0,People,Digital Wellbeing,Cyberbullying,26.0,4.7,True
United States of America,2017.0,People,Usage and ownership,E-commerce activity (% of individuals buying online and frequency),70.43,5.516294585578651,True
United States of America,2021.0,People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",7.468911695816155,1.5320271500761868,True
United States of America,2017.0,People,Usage and ownership,Financial Inclusiveness,93.0,5.65,True
United States of America,2019.0,People,Usage and ownership,Gender gap for social media use,100.0,6.0,True
United States of America,2019.0,People,Usage and ownership,Gender gap in mobile usage,89.6907196,5.48453598,True
United States of America,2019.0,People,Usage and ownership,Global Crypto Adoption Index,0.22,2.1,True
United States of America,2021.0,People,Digital Wellbeing,Global Wellbeing Initiative (World Happiness Index),6.951,4.475499999999999,True
United States of America,2019.0,People,Digital Wellbeing,Gross National Wellbeing,83.55,5.1775,True
United States of America,2020.0,People,Digital Literacy Skills,Human Capital Index (HCI),0.9239,5.6195,True
United States of America,2019.0,People,Usage and ownership,Internet Usage,89.43028486,5.4715142430000006,True
United States of America,2020.0,People,Culture,"Level of satisfaction for online public services (% of users, by type of interaction and service)",70.7,4.535,True
United States of America,2019.0,People,Culture,Number of mobile apps available in national language(s),100.0,6.0,True
United States of America,2021.0,People,Usage and ownership,Social media penetration,72.3,4.615,True
United States of America,2019.0,People,Usage and ownership,Tax as % of total cost of mobile ownership,77.58,2.1210000000000004,False
United States of America,2020.0,People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),7.11,3.266244057052298,True
United States of America,2019.0,People,Usage and ownership,UNDP Human Development Index (HDI) ,0.926,5.63,True
United States of America,2020.0,Regulation,Cybersecurity,# key internet controls employed,75.0,4.75,True
United States of America,2020.0,Regulation,Ethical Standards,Rule of Law Index,0.72,4.6,True
United States of America,2019.0,Strategy,Ambition,SDG Index,76.0,4.8,True
