Administrations,Items,2015,2016,2017,2018,2019
France,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
French Polynesia,8.5 Percentage of the population having mail delivered at home,ND,ND,,,ND
Georgia,8.5 Percentage of the population having mail delivered at home,"60,00","84,00","82,00","100,00","100,00"
Germany,8.5 Percentage of the population having mail delivered at home,ND,"81,00","100,00","100,00","100,00"
Ghana,8.5 Percentage of the population having mail delivered at home,"5,00","5,00","10,00","10,00","10,00"
Greece,8.5 Percentage of the population having mail delivered at home,,,"92,00","97,00","97,00"
Greenland,8.5 Percentage of the population having mail delivered at home,"70,00","70,00","70,00","70,00","70,00"
Grenada,8.5 Percentage of the population having mail delivered at home,,,,"82,00",
Guatemala,8.5 Percentage of the population having mail delivered at home,,,,"1,00",
Guinea,8.5 Percentage of the population having mail delivered at home,,"6,00",,,ND
Guyana,8.5 Percentage of the population having mail delivered at home,"90,00","90,00","90,00","90,00","95,00"
Honduras (Rep.),8.5 Percentage of the population having mail delivered at home,"60,00",,,,
"Hongkong, China",8.5 Percentage of the population having mail delivered at home,"99,99","99,99","99,90","100,00","100,00"
Hungary,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Iceland,8.5 Percentage of the population having mail delivered at home,,,,"95,00","95,00"
India,8.5 Percentage of the population having mail delivered at home,,ND,ND,"100,00","100,00"
Indonesia,8.5 Percentage of the population having mail delivered at home,"80,00","80,00","85,00","85,00",ND
Iran (Islamic Rep.),8.5 Percentage of the population having mail delivered at home,"95,00","94,00","98,00","97,00","98,00"
Iraq,8.5 Percentage of the population having mail delivered at home,"65,00",ND,ND,"65,00",ND
Ireland,8.5 Percentage of the population having mail delivered at home,"100,00",,,,"100,00"
Israel,8.5 Percentage of the population having mail delivered at home,,,"85,00","85,00","85,00"
Italy,8.5 Percentage of the population having mail delivered at home,"99,92","99,92","99,92","99,67","99,50"
Jamaica,8.5 Percentage of the population having mail delivered at home,,"50,00","50,00","50,00","50,00"
Japan,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Jersey,8.5 Percentage of the population having mail delivered at home,,"100,00","100,00",,"100,00"
Jordan,8.5 Percentage of the population having mail delivered at home,"1,00","20,00","20,00","20,00","25,00"
Kazakhstan,8.5 Percentage of the population having mail delivered at home,"86,00","86,00","94,00","94,00","94,00"
Kenya,8.5 Percentage of the population having mail delivered at home,"0,00","0,00",,"1,00","1,00"
Kiribati,8.5 Percentage of the population having mail delivered at home,,"25,00",ND,,ND
Korea (Rep.),8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Kyrgyzstan,8.5 Percentage of the population having mail delivered at home,ND,ND,ND,ND,ND
Lao People's Dem. Rep.,8.5 Percentage of the population having mail delivered at home,"70,00","70,00","65,00","65,00","70,00"
Latvia,8.5 Percentage of the population having mail delivered at home,ND,"95,00","93,00","100,00","100,00"
Lebanon,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Lesotho,8.5 Percentage of the population having mail delivered at home,"5,00",,,,"5,00"
Liberia,8.5 Percentage of the population having mail delivered at home,,,,,"0,20"
Libya,8.5 Percentage of the population having mail delivered at home,"10,00","10,00",,,
Liechtenstein,8.5 Percentage of the population having mail delivered at home,"100,00","87,00","90,00","87,00","90,00"
Lithuania,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","97,00","97,00",ND
Luxembourg,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
"Macao, China",8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Madagascar,8.5 Percentage of the population having mail delivered at home,"80,00","70,00","80,00",ND,ND
Malawi,8.5 Percentage of the population having mail delivered at home,"0,00",,"2,00",NA,"0,00"
Malaysia,8.5 Percentage of the population having mail delivered at home,"95,00","93,00","93,00","97,00","89,00"
Maldives,8.5 Percentage of the population having mail delivered at home,"92,00","67,00","22,00","20,00","15,00"
Mali,8.5 Percentage of the population having mail delivered at home,,,,,ND
Malta,8.5 Percentage of the population having mail delivered at home,"100,00","100,00",,"98,33","100,00"
Mauritania,8.5 Percentage of the population having mail delivered at home,,,,"13,00","0,00"
Mauritius,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","99,00"
Mexico,8.5 Percentage of the population having mail delivered at home,,"87,60","87,80","88,61","88,40"
Moldova,8.5 Percentage of the population having mail delivered at home,"98,00","98,00","98,00","100,00","100,00"
Monaco,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Mongolia,8.5 Percentage of the population having mail delivered at home,"50,00","70,00","55,00","51,10","63,20"
Montenegro,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Montserrat,8.5 Percentage of the population having mail delivered at home,,ND,"0,00",,"0,00"
Morocco,8.5 Percentage of the population having mail delivered at home,"66,00","71,00","75,42","75,42","76,60"
Mozambique,8.5 Percentage of the population having mail delivered at home,,,"56,00","31,00",ND
Myanmar,8.5 Percentage of the population having mail delivered at home,ND,ND,"50,00","60,00","50,00"
Namibia,8.5 Percentage of the population having mail delivered at home,"5,00","5,00","5,00","5,00","5,00"
Nepal,8.5 Percentage of the population having mail delivered at home,,,,,"50,00"
Netherlands,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
New Caledonia,8.5 Percentage of the population having mail delivered at home,"99,00","99,00","99,00","99,00","99,00"
New Zealand,8.5 Percentage of the population having mail delivered at home,"97,00","97,00","97,00","97,00","97,00"
Nicaragua,8.5 Percentage of the population having mail delivered at home,,"65,00","70,00","70,00","75,00"
Niger,8.5 Percentage of the population having mail delivered at home,"5,00","7,00","5,00",,
Nigeria,8.5 Percentage of the population having mail delivered at home,ND,ND,ND,ND,ND
North Macedonia,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Norway,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Oman,8.5 Percentage of the population having mail delivered at home,ND,,,"0,00",
Pakistan,8.5 Percentage of the population having mail delivered at home,"95,00","95,00",,"95,00","95,00"
Panama (Rep.),8.5 Percentage of the population having mail delivered at home,"37,00",ND,"37,00","37,00","17,00"
Papua New Guinea,8.5 Percentage of the population having mail delivered at home,,,,,"0,00"
Paraguay,8.5 Percentage of the population having mail delivered at home,,"91,00","60,00",,"95,00"
Peru,8.5 Percentage of the population having mail delivered at home,"88,00",,"46,00",ND,"50,00"
Philippines,8.5 Percentage of the population having mail delivered at home,"85,00","64,00","85,00",,"85,00"
Poland,8.5 Percentage of the population having mail delivered at home,"100,00","100,00",ND,,"100,00"
Portugal,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Qatar,8.5 Percentage of the population having mail delivered at home,"2,00","90,00","80,00","80,00","80,00"
Romania,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Russian Federation,8.5 Percentage of the population having mail delivered at home,ND,ND,ND,ND,ND
Rwanda,8.5 Percentage of the population having mail delivered at home,"0,10","0,10",,"1,00","0,00"
Saint Christopher (St. Kitts) and Nevis,8.5 Percentage of the population having mail delivered at home,"95,00",,,,
Saint Lucia,8.5 Percentage of the population having mail delivered at home,"10,00",,"15,00","10,00","10,00"
Saint Vincent and the Grenadines,8.5 Percentage of the population having mail delivered at home,"15,00",,,,
Samoa,8.5 Percentage of the population having mail delivered at home,,,,"15,00","15,00"
San Marino,8.5 Percentage of the population having mail delivered at home,,"100,00","100,00",,"98,00"
Sao Tome and Principe,8.5 Percentage of the population having mail delivered at home,NG,,,"0,00",
Saudi Arabia,8.5 Percentage of the population having mail delivered at home,ND,"100,00",ND,,"71,38"
Senegal,8.5 Percentage of the population having mail delivered at home,,,ND,ND,ND
Serbia,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Seychelles,8.5 Percentage of the population having mail delivered at home,"99,00","99,00","50,00",,"60,00"
Sierra Leone,8.5 Percentage of the population having mail delivered at home,"90,00","90,00","90,00","90,00","90,00"
Singapore,8.5 Percentage of the population having mail delivered at home,,,,"100,00",
Slovakia,8.5 Percentage of the population having mail delivered at home,"99,00","99,00","99,00","99,00","99,00"
Slovenia,8.5 Percentage of the population having mail delivered at home,"99,96","99,96","99,96","99,96","99,96"
South Africa,8.5 Percentage of the population having mail delivered at home,"71,80","77,43","15,60","57,20",
Spain,8.5 Percentage of the population having mail delivered at home,,,,,"100,00"
Sri Lanka,8.5 Percentage of the population having mail delivered at home,"98,00","98,00","98,00","100,00","100,00"
Sudan,8.5 Percentage of the population having mail delivered at home,,,,"80,00","31,00"
Suriname,8.5 Percentage of the population having mail delivered at home,"75,00","75,00","89,81",,"85,00"
Sweden,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","100,00","100,00"
Switzerland,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00","99,00","99,00"
Syrian Arab Rep.,8.5 Percentage of the population having mail delivered at home,,"50,00",,,"70,00"
Tajikistan,8.5 Percentage of the population having mail delivered at home,,"71,50","75,00",,
Tanzania (United Rep.),8.5 Percentage of the population having mail delivered at home,"0,00","0,00","5,00","0,00","0,30"
Thailand,8.5 Percentage of the population having mail delivered at home,"96,00","96,00","96,00","96,00","96,00"
Timor-Leste (Dem. Rep.),8.5 Percentage of the population having mail delivered at home,,"20,00",,,
Togo,8.5 Percentage of the population having mail delivered at home,"3,00","0,00",NA,"0,00",ND
Tonga,8.5 Percentage of the population having mail delivered at home,,"1,00",,,"5,00"
Trinidad and Tobago,8.5 Percentage of the population having mail delivered at home,"89,03","93,52","94,60","95,00","95,00"
Tunisia,8.5 Percentage of the population having mail delivered at home,,"95,00","95,00","94,00","94,00"
Turkey,8.5 Percentage of the population having mail delivered at home,"97,00","99,80","99,80","99,80","99,00"
Tuvalu,8.5 Percentage of the population having mail delivered at home,,,,,"20,00"
Uganda,8.5 Percentage of the population having mail delivered at home,,"0,00","0,00",ND,ND
Ukraine,8.5 Percentage of the population having mail delivered at home,ND,ND,ND,"99,00","99,00"
United Arab Emirates,8.5 Percentage of the population having mail delivered at home,,,"43,00",,"0,03"
United Kingdom,8.5 Percentage of the population having mail delivered at home,"99,90","99,99","99,99","99,99","100,00"
United States of America,8.5 Percentage of the population having mail delivered at home,"93,00","93,00","93,00","100,00","93,00"
Uruguay,8.5 Percentage of the population having mail delivered at home,"94,40","94,67","94,30","94,30","94,60"
Uzbekistan,8.5 Percentage of the population having mail delivered at home,,"100,00","100,00","100,00","100,00"
Vatican,8.5 Percentage of the population having mail delivered at home,"100,00","100,00","100,00",,
Venezuela (Bolivarian Rep.),8.5 Percentage of the population having mail delivered at home,"92,15","99,96","99,90","99,99","98,00"
Viet Nam,8.5 Percentage of the population having mail delivered at home,,"90,00","80,00","96,00","98,00"
Zambia,8.5 Percentage of the population having mail delivered at home,"18,00",,,,ND
Zimbabwe,8.5 Percentage of the population having mail delivered at home,"32,00","23,00","19,00","23,00","32,00"
